open,high,low,close,change,DATE,CLOSE,OPEN,HIGH,LOW
101.17,101.17,101.115,101.155,0.0,2016-10-11 09:30:00,101.155,101.17,101.17,101.115
101.155,101.155,101.085,101.09,-0.06499999999999773,2016-10-11 09:45:00,101.09,101.155,101.155,101.085
101.09,101.09,101.03,101.07,-0.020000000000010232,2016-10-11 10:00:00,101.07,101.09,101.09,101.03
101.07,101.07,101.01,101.01,-0.05999999999998806,2016-10-11 10:15:00,101.01,101.07,101.07,101.01
101.01,101.035,101.01,101.03,0.01999999999999602,2016-10-11 10:30:00,101.03,101.01,101.035,101.01
101.03,101.05,101.025,101.045,0.015000000000000568,2016-10-11 10:45:00,101.045,101.03,101.05,101.025
101.045,101.055,101.04,101.055,0.010000000000005116,2016-10-11 11:00:00,101.055,101.045,101.055,101.04
101.055,101.065,101.01,101.01,-0.045000000000001705,2016-10-11 11:15:00,101.01,101.055,101.065,101.01
101.02,101.03,101.01,101.03,0.01999999999999602,2016-10-11 11:30:00,101.03,101.02,101.03,101.01
101.03,101.035,101.03,101.03,0.0,2016-10-11 13:15:00,101.03,101.03,101.035,101.03
101.03,101.035,101.025,101.025,-0.0049999999999954525,2016-10-11 13:30:00,101.025,101.03,101.035,101.025
101.025,101.03,101.02,101.025,0.0,2016-10-11 13:45:00,101.025,101.025,101.03,101.02
101.025,101.045,101.01,101.02,-0.005000000000009663,2016-10-11 14:00:00,101.02,101.025,101.045,101.01
101.02,101.04,101.01,101.04,0.020000000000010232,2016-10-11 14:15:00,101.04,101.02,101.04,101.01
101.04,101.075,101.04,101.075,0.03499999999999659,2016-10-11 14:30:00,101.075,101.04,101.075,101.04
101.075,101.075,101.065,101.065,-0.010000000000005116,2016-10-11 14:45:00,101.065,101.075,101.075,101.065
101.065,101.065,101.05,101.055,-0.009999999999990905,2016-10-11 15:00:00,101.055,101.065,101.065,101.05
101.055,101.055,101.045,101.05,-0.005000000000009663,2016-10-11 15:15:00,101.05,101.055,101.055,101.045
101.05,101.05,100.97,100.97,-0.0799999999999983,2016-10-12 09:30:00,100.97,101.05,101.05,100.97
100.97,100.985,100.95,100.975,0.0049999999999954525,2016-10-12 09:45:00,100.975,100.97,100.985,100.95
100.975,101.0,100.975,101.0,0.025000000000005684,2016-10-12 10:00:00,101.0,100.975,101.0,100.975
101.0,101.0,100.99,100.99,-0.010000000000005116,2016-10-12 10:15:00,100.99,101.0,101.0,100.99
100.99,100.99,100.975,100.99,0.0,2016-10-12 10:30:00,100.99,100.99,100.99,100.975
100.99,100.99,100.965,100.965,-0.024999999999991473,2016-10-12 10:45:00,100.965,100.99,100.99,100.965
100.965,100.965,100.95,100.955,-0.010000000000005116,2016-10-12 11:00:00,100.955,100.965,100.965,100.95
100.955,100.97,100.955,100.97,0.015000000000000568,2016-10-12 11:15:00,100.97,100.955,100.97,100.955
100.97,100.975,100.97,100.97,0.0,2016-10-12 11:30:00,100.97,100.97,100.975,100.97
100.97,100.97,100.94,100.94,-0.030000000000001137,2016-10-12 13:15:00,100.94,100.97,100.97,100.94
100.94,100.94,100.895,100.905,-0.03499999999999659,2016-10-12 13:30:00,100.905,100.94,100.94,100.895
100.905,100.905,100.88,100.88,-0.025000000000005684,2016-10-12 13:45:00,100.88,100.905,100.905,100.88
100.88,100.88,100.85,100.875,-0.0049999999999954525,2016-10-12 14:00:00,100.875,100.88,100.88,100.85
100.875,100.895,100.875,100.88,0.0049999999999954525,2016-10-12 14:15:00,100.88,100.875,100.895,100.875
100.88,100.9,100.875,100.885,0.005000000000009663,2016-10-12 14:30:00,100.885,100.88,100.9,100.875
100.885,100.9,100.885,100.9,0.015000000000000568,2016-10-12 14:45:00,100.9,100.885,100.9,100.885
100.9,100.93,100.9,100.93,0.030000000000001137,2016-10-12 15:00:00,100.93,100.9,100.93,100.9
100.93,100.93,100.9,100.92,-0.010000000000005116,2016-10-12 15:15:00,100.92,100.93,100.93,100.9
100.865,100.89,100.86,100.86,-0.060000000000002274,2016-10-13 09:30:00,100.86,100.865,100.89,100.86
100.86,100.87,100.85,100.86,0.0,2016-10-13 09:45:00,100.86,100.86,100.87,100.85
100.87,100.945,100.87,100.945,0.08499999999999375,2016-10-13 10:00:00,100.945,100.87,100.945,100.87
100.945,100.975,100.945,100.955,0.010000000000005116,2016-10-13 10:15:00,100.955,100.945,100.975,100.945
100.955,100.97,100.955,100.965,0.010000000000005116,2016-10-13 10:30:00,100.965,100.955,100.97,100.955
100.965,100.985,100.965,100.985,0.01999999999999602,2016-10-13 10:45:00,100.985,100.965,100.985,100.965
100.985,101.005,100.985,101.005,0.01999999999999602,2016-10-13 11:00:00,101.005,100.985,101.005,100.985
101.005,101.005,100.99,100.99,-0.015000000000000568,2016-10-13 11:15:00,100.99,101.005,101.005,100.99
100.99,101.015,100.985,101.01,0.020000000000010232,2016-10-13 11:30:00,101.01,100.99,101.015,100.985
101.01,101.01,101.005,101.005,-0.005000000000009663,2016-10-13 13:15:00,101.005,101.01,101.01,101.005
101.005,101.005,101.0,101.0,-0.0049999999999954525,2016-10-13 13:30:00,101.0,101.005,101.005,101.0
101.0,101.005,100.985,100.99,-0.010000000000005116,2016-10-13 13:45:00,100.99,101.0,101.005,100.985
100.99,101.015,100.99,101.005,0.015000000000000568,2016-10-13 14:00:00,101.005,100.99,101.015,100.99
101.005,101.02,101.005,101.015,0.010000000000005116,2016-10-13 14:15:00,101.015,101.005,101.02,101.005
101.015,101.02,101.01,101.01,-0.0049999999999954525,2016-10-13 14:30:00,101.01,101.015,101.02,101.01
101.01,101.055,101.005,101.05,0.03999999999999204,2016-10-13 14:45:00,101.05,101.01,101.055,101.005
101.05,101.05,101.035,101.04,-0.009999999999990905,2016-10-13 15:00:00,101.04,101.05,101.05,101.035
101.04,101.055,101.035,101.045,0.0049999999999954525,2016-10-13 15:15:00,101.045,101.04,101.055,101.035
101.045,101.045,101.01,101.025,-0.01999999999999602,2016-10-14 09:30:00,101.025,101.045,101.045,101.01
101.025,101.06,100.96,100.985,-0.04000000000000625,2016-10-14 09:45:00,100.985,101.025,101.06,100.96
100.985,100.985,100.945,100.98,-0.0049999999999954525,2016-10-14 10:00:00,100.98,100.985,100.985,100.945
100.98,101.01,100.97,101.01,0.030000000000001137,2016-10-14 10:15:00,101.01,100.98,101.01,100.97
101.01,101.055,101.005,101.04,0.030000000000001137,2016-10-14 10:30:00,101.04,101.01,101.055,101.005
101.05,101.085,101.05,101.065,0.024999999999991473,2016-10-14 10:45:00,101.065,101.05,101.085,101.05
101.065,101.08,101.065,101.07,0.0049999999999954525,2016-10-14 11:00:00,101.07,101.065,101.08,101.065
101.07,101.07,101.05,101.05,-0.01999999999999602,2016-10-14 11:15:00,101.05,101.07,101.07,101.05
101.05,101.07,101.05,101.07,0.01999999999999602,2016-10-14 11:30:00,101.07,101.05,101.07,101.05
101.07,101.07,101.06,101.06,-0.009999999999990905,2016-10-14 13:15:00,101.06,101.07,101.07,101.06
101.06,101.075,101.06,101.075,0.015000000000000568,2016-10-14 13:30:00,101.075,101.06,101.075,101.06
101.075,101.095,101.075,101.09,0.015000000000000568,2016-10-14 13:45:00,101.09,101.075,101.095,101.075
101.09,101.15,101.09,101.13,0.03999999999999204,2016-10-14 14:00:00,101.13,101.09,101.15,101.09
