OPEN,HIGH,LOW,CLOSE,CHG,DATE
95.63,95.88,95.63,95.88,0.3149999999999977,2018-07-11
95.88,96.05,95.68,95.79,-0.0049999999999954525,2018-07-12
95.76,96.065,95.76,96.04,0.2750000000000057,2018-07-13
96.09,96.29,96.09,96.175,0.14999999999999147,2018-07-16
96.105,96.235,96.1,96.15,0.025000000000005684,2018-07-17
96.205,96.295,96.045,96.15,0.025000000000005684,2018-07-18
96.035,96.435,95.87,96.415,0.2850000000000108,2018-07-19
96.525,96.625,95.695,95.695,-0.6800000000000068,2018-07-20
95.82,95.935,95.66,95.69,-0.09000000000000341,2018-07-23
95.35,95.49,95.29,95.35,-0.3500000000000085,2018-07-24
95.3,95.52,95.3,95.48,0.07500000000000284,2018-07-25
95.39,95.63,95.375,95.54,0.060000000000002274,2018-07-26
95.59,95.67,95.49,95.61,0.01999999999999602,2018-07-27
95.67,95.69,95.5,95.595,0.01999999999999602,2018-07-30
95.72,95.975,95.665,95.94,0.3199999999999932,2018-07-31
95.85,96.16,95.8,96.11,0.25,2018-08-01
96.07,96.26,95.885,95.995,-0.0799999999999983,2018-08-02
95.98,96.27,95.9,96.175,0.21999999999999886,2018-08-03
96.19,96.195,95.955,96.025,-0.1599999999999966,2018-08-06
96.045,96.145,95.84,95.85,-0.1950000000000074,2018-08-07
95.8,95.87,95.525,95.595,-0.3299999999999983,2018-08-08
95.615,95.64,95.2,95.3,-0.29000000000000625,2018-08-09
95.355,95.425,95.145,95.27,-0.0350000000000108,2018-08-10
95.245,95.305,94.81,95.085,-0.17500000000001137,2018-08-13
95.085,95.365,94.99,95.305,0.2850000000000108,2018-08-14
95.335,95.425,95.0,95.05,-0.23000000000000398,2018-08-15
95.13,95.265,94.605,94.675,-0.375,2018-08-16
94.605,94.76,94.135,94.485,-0.21999999999999886,2018-08-17
94.49,94.68,94.225,94.59,0.17499999999999716,2018-08-20
94.55,94.72,94.305,94.595,0.045000000000001705,2018-08-21
94.68,94.875,94.625,94.75,0.11499999999999488,2018-08-22
94.815,94.91,94.62,94.755,0.045000000000001705,2018-08-23
94.85,94.975,94.525,94.645,-0.05500000000000682,2018-08-24
94.57,94.73,94.41,94.62,-0.0049999999999954525,2018-08-27
94.565,94.845,94.455,94.815,0.19499999999999318,2018-08-28
94.78,94.88,94.69,94.84,0.05500000000000682,2018-08-29
94.88,95.125,94.81,95.045,0.24500000000000455,2018-08-30
95.0,95.17,94.98,95.12,0.09499999999999886,2018-08-31
95.07,95.13,94.86,94.925,-0.18000000000000682,2018-09-03
94.935,94.975,94.72,94.795,-0.10999999999999943,2018-09-04
94.83,94.91,94.68,94.69,-0.09000000000000341,2018-09-05
94.69,94.855,94.635,94.745,0.020000000000010232,2018-09-06
94.75,94.805,94.52,94.685,-0.09000000000000341,2018-09-07
94.625,94.675,94.365,94.42,-0.20999999999999375,2018-09-10
94.405,94.425,93.915,94.145,-0.2950000000000017,2018-09-11
94.155,94.385,94.15,94.335,0.19499999999999318,2018-09-12
94.27,94.475,94.17,94.37,0.045000000000001705,2018-09-13
94.35,94.515,94.295,94.485,0.09000000000000341,2018-09-14
94.55,94.64,94.505,94.55,0.09000000000000341,2018-09-17
94.575,94.635,94.305,94.39,-0.15500000000000114,2018-09-18
94.34,94.415,94.205,94.225,-0.15500000000000114,2018-09-19
94.125,94.18,93.9,93.94,-0.3100000000000023,2018-09-20
93.93,94.2,93.875,94.185,0.18999999999999773,2018-09-21
94.17,94.27,94.115,94.21,0.06499999999999773,2018-09-25
94.2,94.47,94.13,94.46,0.24499999999999034,2018-09-26
94.52,94.735,94.42,94.725,0.28999999999999204,2018-09-27
94.705,94.865,94.665,94.785,0.11999999999999034,2018-09-28
94.82,94.84,94.515,94.675,-0.13500000000000512,2018-10-08
94.685,94.89,94.6,94.77,0.08499999999999375,2018-10-09
94.78,94.845,94.68,94.805,0.060000000000002274,2018-10-10
94.94,95.22,94.92,95.165,0.39000000000000057,2018-10-11
95.125,95.225,95.025,95.12,-0.03499999999999659,2018-10-12
95.1,95.195,94.965,94.995,-0.10999999999999943,2018-10-15
94.955,95.25,94.885,95.235,0.20000000000000284,2018-10-16
95.2,95.35,95.09,95.165,-0.009999999999990905,2018-10-17
95.29,95.535,95.255,95.49,0.34499999999999886,2018-10-18
95.55,95.565,95.185,95.32,-0.14500000000001023,2018-10-19
95.18,95.205,95.035,95.15,-0.09999999999999432,2018-10-22
95.04,95.345,95.035,95.33,0.20999999999999375,2018-10-23
95.28,95.5,95.23,95.47,0.15500000000000114,2018-10-24
95.625,95.695,95.47,95.535,0.08499999999999375,2018-10-25
95.48,95.62,95.435,95.56,0.04999999999999716,2018-10-26
95.605,95.88,95.545,95.78,0.2150000000000034,2018-10-29
95.82,95.87,95.595,95.75,-0.04999999999999716,2018-10-30
95.69,95.92,95.555,95.81,0.08500000000000796,2018-10-31
95.85,95.985,95.655,95.95,0.14499999999999602,2018-11-01
95.71,95.795,95.45,95.5,-0.45000000000000284,2018-11-02
95.49,95.655,95.435,95.575,0.0799999999999983,2018-11-05
95.595,95.865,95.53,95.81,0.2150000000000034,2018-11-06
95.81,96.04,95.76,95.985,0.18500000000000227,2018-11-07
95.92,96.155,95.865,96.095,0.14000000000000057,2018-11-08
95.995,96.175,95.945,96.005,-0.09000000000000341,2018-11-09
