open,high,low,close,change,volume,amount,position,DATE,CLOSE,OPEN,HIGH,LOW
101.17,101.17,101.115,101.125,0.0,29.0,29331200.0,7071.0,2016-10-11 09:20:00,101.125,101.17,101.17,101.115
101.15,101.15,101.14,101.15,0.025000000000005684,14.0,14160300.0,7080.0,2016-10-11 09:25:00,101.15,101.15,101.15,101.14
101.15,101.155,101.135,101.155,0.0049999999999954525,33.0,33378750.0,7078.0,2016-10-11 09:30:00,101.155,101.15,101.155,101.135
101.155,101.155,101.155,101.155,0.0,0.0,0.0,7078.0,2016-10-11 09:35:00,101.155,101.155,101.155,101.155
101.155,101.155,101.09,101.105,-0.04999999999999716,16.0,16178600.0,7075.0,2016-10-11 09:40:00,101.105,101.155,101.155,101.09
101.105,101.115,101.085,101.09,-0.015000000000000568,50.0,50549750.0,7066.0,2016-10-11 09:45:00,101.09,101.105,101.115,101.085
101.09,101.09,101.03,101.065,-0.025000000000005684,126.0,127324100.0,7023.0,2016-10-11 09:50:00,101.065,101.09,101.09,101.03
101.065,101.065,101.05,101.055,-0.009999999999990905,16.0,16169100.0,7020.0,2016-10-11 09:55:00,101.055,101.065,101.065,101.05
101.055,101.07,101.055,101.07,0.014999999999986358,1.0,1010700.0,7019.0,2016-10-11 10:00:00,101.07,101.055,101.07,101.055
101.07,101.07,101.02,101.02,-0.04999999999999716,68.0,68704850.0,7031.0,2016-10-11 10:05:00,101.02,101.07,101.07,101.02
101.02,101.035,101.01,101.03,0.010000000000005116,18.0,18184550.0,7033.0,2016-10-11 10:10:00,101.03,101.02,101.035,101.01
101.03,101.03,101.01,101.01,-0.01999999999999602,14.0,14143450.0,7040.0,2016-10-11 10:15:00,101.01,101.03,101.03,101.01
101.01,101.03,101.01,101.03,0.01999999999999602,12.0,12123600.0,7033.0,2016-10-11 10:20:00,101.03,101.01,101.03,101.01
101.03,101.035,101.025,101.035,0.0049999999999954525,8.0,8082450.0,7034.0,2016-10-11 10:25:00,101.035,101.03,101.035,101.025
101.035,101.035,101.025,101.03,-0.0049999999999954525,17.0,17175000.0,7048.0,2016-10-11 10:30:00,101.03,101.035,101.035,101.025
101.03,101.03,101.025,101.03,0.0,11.0,11113100.0,7055.0,2016-10-11 10:35:00,101.03,101.03,101.03,101.025
101.03,101.04,101.03,101.035,0.0049999999999954525,2.0,2020750.0,7054.0,2016-10-11 10:40:00,101.035,101.03,101.04,101.03
101.035,101.05,101.035,101.045,0.010000000000005116,3.0,3031400.0,7055.0,2016-10-11 10:45:00,101.045,101.035,101.05,101.035
101.045,101.045,101.04,101.045,0.0,20.0,20208150.0,7069.0,2016-10-11 10:50:00,101.045,101.045,101.045,101.04
101.045,101.045,101.045,101.045,0.0,0.0,0.0,7069.0,2016-10-11 10:55:00,101.045,101.045,101.045,101.045
101.045,101.055,101.045,101.055,0.010000000000005116,3.0,3031600.0,7066.0,2016-10-11 11:00:00,101.055,101.045,101.055,101.045
101.055,101.065,101.055,101.065,0.009999999999990905,3.0,3031850.0,7064.0,2016-10-11 11:05:00,101.065,101.055,101.065,101.055
101.065,101.065,101.06,101.06,-0.0049999999999954525,1.0,1010600.0,7064.0,2016-10-11 11:10:00,101.06,101.065,101.065,101.06
101.06,101.06,101.01,101.01,-0.04999999999999716,30.0,30306950.0,7083.0,2016-10-11 11:15:00,101.01,101.06,101.06,101.01
101.02,101.025,101.01,101.025,0.015000000000000568,15.0,15153000.0,7081.0,2016-10-11 11:20:00,101.025,101.02,101.025,101.01
101.025,101.025,101.02,101.02,-0.005000000000009663,9.0,9091800.0,7085.0,2016-10-11 11:25:00,101.02,101.025,101.025,101.02
101.02,101.03,101.02,101.03,0.010000000000005116,6.0,6061800.0,7079.0,2016-10-11 11:30:00,101.03,101.02,101.03,101.02
101.03,101.035,101.03,101.035,0.0049999999999954525,2.0,2020650.0,7079.0,2016-10-11 13:05:00,101.035,101.03,101.035,101.03
101.035,101.035,101.03,101.03,-0.0049999999999954525,14.0,14144250.0,7068.0,2016-10-11 13:10:00,101.03,101.035,101.035,101.03
101.03,101.03,101.03,101.03,0.0,3.0,3030900.0,7065.0,2016-10-11 13:15:00,101.03,101.03,101.03,101.03
101.03,101.035,101.03,101.03,0.0,16.0,16165150.0,7055.0,2016-10-11 13:20:00,101.03,101.03,101.035,101.03
101.03,101.03,101.03,101.03,0.0,0.0,0.0,7055.0,2016-10-11 13:25:00,101.03,101.03,101.03,101.03
101.03,101.03,101.025,101.025,-0.0049999999999954525,6.0,6061600.0,7057.0,2016-10-11 13:30:00,101.025,101.03,101.03,101.025
101.025,101.03,101.02,101.02,-0.005000000000009663,34.0,34347700.0,7077.0,2016-10-11 13:35:00,101.02,101.025,101.03,101.02
101.025,101.03,101.02,101.03,0.010000000000005116,6.0,6061650.0,7075.0,2016-10-11 13:40:00,101.03,101.025,101.03,101.02
101.03,101.03,101.025,101.025,-0.0049999999999954525,4.0,4041000.0,7072.0,2016-10-11 13:45:00,101.025,101.03,101.03,101.025
101.025,101.03,101.015,101.015,-0.010000000000005116,27.0,27275350.0,7087.0,2016-10-11 13:50:00,101.015,101.025,101.03,101.015
101.015,101.025,101.01,101.015,0.0,21.0,21213400.0,7100.0,2016-10-11 13:55:00,101.015,101.015,101.025,101.01
101.015,101.045,101.015,101.02,0.0049999999999954525,29.0,29296450.0,7115.0,2016-10-11 14:00:00,101.02,101.015,101.045,101.015
101.02,101.025,101.01,101.025,0.005000000000009663,39.0,39395100.0,7124.0,2016-10-11 14:05:00,101.025,101.02,101.025,101.01
101.025,101.04,101.025,101.04,0.015000000000000568,6.0,6062150.0,7127.0,2016-10-11 14:10:00,101.04,101.025,101.04,101.025
101.04,101.04,101.04,101.04,0.0,0.0,0.0,7127.0,2016-10-11 14:15:00,101.04,101.04,101.04,101.04
