open,high,low,close,change,volume,amount,position,DATE,CLOSE,OPEN,HIGH,LOW
95.235,95.235,95.145,95.145,0.0,3.0,2854900.0,2452.0,2017-10-11 09:20:00,95.145,95.235,95.235,95.145
95.145,95.145,95.145,95.145,0.0,0.0,0.0,2452.0,2017-10-11 09:25:00,95.145,95.145,95.145,95.145
95.145,95.25,95.145,95.23,0.08500000000000796,9.0,8571800.0,2455.0,2017-10-11 09:30:00,95.23,95.145,95.25,95.145
95.23,95.245,95.23,95.245,0.015000000000000568,3.0,2857250.0,2456.0,2017-10-11 09:35:00,95.245,95.23,95.245,95.23
95.245,95.245,95.225,95.24,-0.005000000000009663,18.0,17142900.0,2470.0,2017-10-11 09:40:00,95.24,95.245,95.245,95.225
95.24,95.24,95.24,95.24,0.0,0.0,0.0,2470.0,2017-10-11 09:45:00,95.24,95.24,95.24,95.24
95.24,95.24,95.2,95.205,-0.03499999999999659,23.0,21897050.0,2492.0,2017-10-11 09:50:00,95.205,95.24,95.24,95.2
95.205,95.205,95.18,95.18,-0.024999999999991473,6.0,5711800.0,2496.0,2017-10-11 09:55:00,95.18,95.205,95.205,95.18
95.18,95.18,95.155,95.17,-0.010000000000005116,34.0,32357050.0,2517.0,2017-10-11 10:00:00,95.17,95.18,95.18,95.155
95.17,95.18,95.17,95.17,0.0,18.0,17131700.0,2529.0,2017-10-11 10:05:00,95.17,95.17,95.18,95.17
95.17,95.175,95.165,95.175,0.0049999999999954525,12.0,11420700.0,2540.0,2017-10-11 10:10:00,95.175,95.17,95.175,95.165
95.175,95.185,95.175,95.185,0.010000000000005116,2.0,1903700.0,2542.0,2017-10-11 10:15:00,95.185,95.175,95.185,95.175
95.185,95.185,95.175,95.185,0.0,14.0,13325250.0,2551.0,2017-10-11 10:20:00,95.185,95.185,95.185,95.175
95.185,95.185,95.17,95.17,-0.015000000000000568,1.0,951700.0,2551.0,2017-10-11 10:25:00,95.17,95.185,95.185,95.17
95.17,95.17,95.17,95.17,0.0,0.0,0.0,2551.0,2017-10-11 10:30:00,95.17,95.17,95.17,95.17
95.17,95.17,95.17,95.17,0.0,0.0,0.0,2551.0,2017-10-11 10:35:00,95.17,95.17,95.17,95.17
95.17,95.19,95.17,95.19,0.01999999999999602,21.0,19989400.0,2571.0,2017-10-11 10:40:00,95.19,95.17,95.19,95.17
95.19,95.205,95.19,95.19,0.0,3.0,2856000.0,2572.0,2017-10-11 10:45:00,95.19,95.19,95.205,95.19
95.19,95.19,95.18,95.185,-0.0049999999999954525,17.0,16181350.0,2584.0,2017-10-11 10:50:00,95.185,95.19,95.19,95.18
95.185,95.19,95.165,95.18,-0.0049999999999954525,41.0,39022400.0,2610.0,2017-10-11 10:55:00,95.18,95.185,95.19,95.165
95.18,95.185,95.18,95.185,0.0049999999999954525,11.0,10470300.0,2619.0,2017-10-11 11:00:00,95.185,95.18,95.185,95.18
95.19,95.2,95.19,95.195,0.009999999999990905,17.0,16183550.0,2631.0,2017-10-11 11:05:00,95.195,95.19,95.2,95.19
95.195,95.195,95.18,95.185,-0.009999999999990905,12.0,11421800.0,2637.0,2017-10-11 11:10:00,95.185,95.195,95.195,95.18
95.185,95.185,95.175,95.175,-0.010000000000005116,2.0,1903500.0,2639.0,2017-10-11 11:15:00,95.175,95.185,95.185,95.175
95.175,95.175,95.155,95.155,-0.01999999999999602,15.0,14274800.0,2651.0,2017-10-11 11:20:00,95.155,95.175,95.175,95.155
95.145,95.16,95.145,95.145,-0.010000000000005116,14.0,13320750.0,2658.0,2017-10-11 11:25:00,95.145,95.145,95.16,95.145
95.145,95.16,95.14,95.14,-0.0049999999999954525,25.0,23787550.0,2676.0,2017-10-11 11:30:00,95.14,95.145,95.16,95.14
95.14,95.155,95.14,95.155,0.015000000000000568,15.0,14272100.0,2680.0,2017-10-11 13:05:00,95.155,95.14,95.155,95.14
95.155,95.16,95.155,95.155,0.0,11.0,10467550.0,2682.0,2017-10-11 13:10:00,95.155,95.155,95.16,95.155
95.155,95.175,95.155,95.175,0.01999999999999602,6.0,5709950.0,2684.0,2017-10-11 13:15:00,95.175,95.155,95.175,95.155
95.175,95.175,95.165,95.165,-0.009999999999990905,3.0,2854950.0,2684.0,2017-10-11 13:20:00,95.165,95.175,95.175,95.165
95.165,95.165,95.165,95.165,0.0,1.0,951650.0,2685.0,2017-10-11 13:25:00,95.165,95.165,95.165,95.165
95.165,95.175,95.165,95.175,0.009999999999990905,5.0,4758550.0,2687.0,2017-10-11 13:30:00,95.175,95.165,95.175,95.165
95.175,95.185,95.175,95.185,0.010000000000005116,14.0,13325250.0,2700.0,2017-10-11 13:35:00,95.185,95.175,95.185,95.175
95.185,95.19,95.185,95.19,0.0049999999999954525,6.0,5711150.0,2704.0,2017-10-11 13:40:00,95.19,95.185,95.19,95.185
95.19,95.205,95.185,95.205,0.015000000000000568,65.0,61875450.0,2741.0,2017-10-11 13:45:00,95.205,95.19,95.205,95.185
95.205,95.21,95.195,95.195,-0.010000000000005116,14.0,13328750.0,2753.0,2017-10-11 13:50:00,95.195,95.205,95.21,95.195
95.195,95.2,95.195,95.2,0.005000000000009663,5.0,4760000.0,2753.0,2017-10-11 13:55:00,95.2,95.195,95.2,95.195
95.2,95.24,95.195,95.24,0.03999999999999204,51.0,48557400.0,2762.0,2017-10-11 14:00:00,95.24,95.2,95.24,95.195
95.24,95.27,95.225,95.225,-0.015000000000000568,38.0,36198950.0,2776.0,2017-10-11 14:05:00,95.225,95.24,95.27,95.225
95.225,95.225,95.225,95.225,0.0,16.0,15236000.0,2781.0,2017-10-11 14:10:00,95.225,95.225,95.225,95.225
95.225,95.225,95.225,95.225,0.0,1.0,952250.0,2781.0,2017-10-11 14:15:00,95.225,95.225,95.225,95.225
95.22,95.235,95.22,95.235,0.010000000000005116,4.0,3809100.0,2785.0,2017-10-11 14:20:00,95.235,95.22,95.235,95.22
95.235,95.235,95.235,95.235,0.0,0.0,0.0,2785.0,2017-10-11 14:25:00,95.235,95.235,95.235,95.235
95.235,95.235,95.205,95.21,-0.025000000000005684,8.0,7616700.0,2791.0,2017-10-11 14:30:00,95.21,95.235,95.235,95.205
95.21,95.22,95.21,95.22,0.010000000000005116,17.0,16185850.0,2799.0,2017-10-11 14:35:00,95.22,95.21,95.22,95.21
95.22,95.22,95.215,95.215,-0.0049999999999954525,5.0,4760750.0,2804.0,2017-10-11 14:40:00,95.215,95.22,95.22,95.215
95.215,95.215,95.21,95.21,-0.005000000000009663,15.0,14281750.0,2806.0,2017-10-11 14:45:00,95.21,95.215,95.215,95.21
95.21,95.215,95.205,95.205,-0.0049999999999954525,27.0,25706000.0,2825.0,2017-10-11 14:50:00,95.205,95.21,95.215,95.205
95.205,95.215,95.2,95.205,0.0,12.0,11424700.0,2836.0,2017-10-11 14:55:00,95.205,95.205,95.215,95.2
95.2,95.2,95.2,95.2,-0.0049999999999954525,10.0,9520000.0,2846.0,2017-10-11 15:00:00,95.2,95.2,95.2,95.2
95.2,95.21,95.2,95.21,0.009999999999990905,7.0,6664700.0,2851.0,2017-10-11 15:05:00,95.21,95.2,95.21,95.2
95.21,95.21,95.205,95.205,-0.0049999999999954525,1.0,952050.0,2851.0,2017-10-11 15:10:00,95.205,95.21,95.21,95.205
95.205,95.205,95.18,95.195,-0.010000000000005116,4.0,3807650.0,2851.0,2017-10-11 15:15:00,95.195,95.205,95.205,95.18
95.195,95.215,95.195,95.215,0.020000000000010232,2.0,1904150.0,2851.0,2017-10-12 09:20:00,95.215,95.195,95.215,95.195
95.215,95.215,95.19,95.195,-0.020000000000010232,6.0,5711850.0,2853.0,2017-10-12 09:25:00,95.195,95.215,95.215,95.19
95.195,95.195,95.195,95.195,0.0,0.0,0.0,2853.0,2017-10-12 09:30:00,95.195,95.195,95.195,95.195
95.21,95.22,95.21,95.22,0.025000000000005684,10.0,9521500.0,2859.0,2017-10-12 09:35:00,95.22,95.21,95.22,95.21
95.22,95.22,95.22,95.22,0.0,0.0,0.0,2859.0,2017-10-12 09:40:00,95.22,95.22,95.22,95.22
95.2,95.2,95.2,95.2,-0.01999999999999602,2.0,1904000.0,2860.0,2017-10-12 09:45:00,95.2,95.2,95.2,95.2
95.19,95.19,95.19,95.19,-0.010000000000005116,1.0,951900.0,2859.0,2017-10-12 09:50:00,95.19,95.19,95.19,95.19
95.19,95.19,95.19,95.19,0.0,0.0,0.0,2859.0,2017-10-12 09:55:00,95.19,95.19,95.19,95.19
95.19,95.19,95.17,95.18,-0.009999999999990905,3.0,2855300.0,2860.0,2017-10-12 10:00:00,95.18,95.19,95.19,95.17
95.18,95.18,95.16,95.165,-0.015000000000000568,7.0,6661650.0,2866.0,2017-10-12 10:05:00,95.165,95.18,95.18,95.16
95.165,95.165,95.155,95.165,0.0,5.0,4758050.0,2866.0,2017-10-12 10:10:00,95.165,95.165,95.165,95.155
95.165,95.165,95.125,95.155,-0.010000000000005116,17.0,16174150.0,2874.0,2017-10-12 10:15:00,95.155,95.165,95.165,95.125
95.155,95.155,95.125,95.135,-0.01999999999999602,13.0,12367150.0,2884.0,2017-10-12 10:20:00,95.135,95.155,95.155,95.125
95.135,95.135,95.135,95.135,0.0,1.0,951350.0,2885.0,2017-10-12 10:25:00,95.135,95.135,95.135,95.135
95.135,95.135,95.01,95.08,-0.05500000000000682,115.0,109346100.0,2912.0,2017-10-12 10:30:00,95.08,95.135,95.135,95.01
95.08,95.1,95.08,95.08,0.0,46.0,43742500.0,2930.0,2017-10-12 10:35:00,95.08,95.08,95.1,95.08
95.08,95.09,95.08,95.085,0.0049999999999954525,11.0,10459050.0,2934.0,2017-10-12 10:40:00,95.085,95.08,95.09,95.08
95.085,95.09,95.085,95.085,0.0,24.0,22820750.0,2939.0,2017-10-12 10:45:00,95.085,95.085,95.09,95.085
95.085,95.085,95.045,95.06,-0.024999999999991473,5.0,4752800.0,2943.0,2017-10-12 10:50:00,95.06,95.085,95.085,95.045
95.13,95.2,95.04,95.045,-0.015000000000000568,89.0,84647850.0,2996.0,2017-10-12 10:55:00,95.045,95.13,95.2,95.04
95.045,95.045,94.955,94.99,-0.05500000000000682,98.0,93097600.0,3041.0,2017-10-12 11:00:00,94.99,95.045,95.045,94.955
94.99,95.005,94.99,95.005,0.015000000000000568,11.0,10450050.0,3041.0,2017-10-12 11:05:00,95.005,94.99,95.005,94.99
95.005,95.01,95.0,95.005,0.0,22.0,20901150.0,3061.0,2017-10-12 11:10:00,95.005,95.005,95.01,95.0
95.005,95.01,94.99,94.99,-0.015000000000000568,31.0,29450600.0,3071.0,2017-10-12 11:15:00,94.99,95.005,95.01,94.99
94.99,95.01,94.99,95.01,0.020000000000010232,21.0,19950750.0,3080.0,2017-10-12 11:20:00,95.01,94.99,95.01,94.99
94.995,95.0,94.995,94.995,-0.015000000000000568,16.0,15199450.0,3091.0,2017-10-12 11:25:00,94.995,94.995,95.0,94.995
94.995,95.0,94.99,95.0,0.0049999999999954525,9.0,8549600.0,3099.0,2017-10-12 11:30:00,95.0,94.995,95.0,94.99
95.0,95.0,95.0,95.0,0.0,0.0,0.0,3099.0,2017-10-12 13:05:00,95.0,95.0,95.0,95.0
95.0,95.015,95.0,95.015,0.015000000000000568,1.0,950150.0,3100.0,2017-10-12 13:10:00,95.015,95.0,95.015,95.0
95.015,95.02,95.01,95.015,0.0,6.0,5701000.0,3103.0,2017-10-12 13:15:00,95.015,95.015,95.02,95.01
95.015,95.03,95.015,95.03,0.015000000000000568,1.0,950300.0,3104.0,2017-10-12 13:20:00,95.03,95.015,95.03,95.015
95.03,95.03,95.015,95.015,-0.015000000000000568,3.0,2850550.0,3106.0,2017-10-12 13:25:00,95.015,95.03,95.03,95.015
95.015,95.015,95.015,95.015,0.0,21.0,19953150.0,3126.0,2017-10-12 13:30:00,95.015,95.015,95.015,95.015
95.015,95.015,95.01,95.01,-0.0049999999999954525,10.0,9501000.0,3126.0,2017-10-12 13:35:00,95.01,95.015,95.015,95.01
95.01,95.01,95.005,95.005,-0.005000000000009663,3.0,2850250.0,3124.0,2017-10-12 13:40:00,95.005,95.01,95.01,95.005
95.005,95.015,95.005,95.005,0.0,10.0,9500600.0,3133.0,2017-10-12 13:45:00,95.005,95.005,95.015,95.005
95.005,95.01,95.0,95.01,0.005000000000009663,12.0,11400350.0,3140.0,2017-10-12 13:50:00,95.01,95.005,95.01,95.0
95.01,95.02,95.01,95.02,0.009999999999990905,1.0,950200.0,3141.0,2017-10-12 13:55:00,95.02,95.01,95.02,95.01
95.02,95.02,95.02,95.02,0.0,1.0,950200.0,3142.0,2017-10-12 14:00:00,95.02,95.02,95.02,95.02
95.02,95.02,95.01,95.01,-0.009999999999990905,2.0,1900200.0,3143.0,2017-10-12 14:05:00,95.01,95.02,95.02,95.01
95.01,95.03,95.01,95.03,0.01999999999999602,8.0,7601900.0,3144.0,2017-10-12 14:10:00,95.03,95.01,95.03,95.01
95.03,95.045,95.03,95.03,0.0,4.0,3801600.0,3146.0,2017-10-12 14:15:00,95.03,95.03,95.045,95.03
95.03,95.03,95.025,95.025,-0.0049999999999954525,22.0,20905500.0,3136.0,2017-10-12 14:20:00,95.025,95.03,95.03,95.025
95.025,95.025,95.015,95.015,-0.010000000000005116,5.0,4751100.0,3137.0,2017-10-12 14:25:00,95.015,95.025,95.025,95.015
95.015,95.025,94.995,95.01,-0.0049999999999954525,30.0,28500600.0,3157.0,2017-10-12 14:30:00,95.01,95.015,95.025,94.995
95.01,95.02,95.0,95.0,-0.010000000000005116,9.0,8550800.0,3157.0,2017-10-12 14:35:00,95.0,95.01,95.02,95.0
95.0,95.0,94.975,94.98,-0.01999999999999602,11.0,10447950.0,3155.0,2017-10-12 14:40:00,94.98,95.0,95.0,94.975
94.98,94.98,94.955,94.955,-0.025000000000005684,24.0,22791950.0,3163.0,2017-10-12 14:45:00,94.955,94.98,94.98,94.955
94.955,94.955,94.93,94.935,-0.01999999999999602,8.0,7595150.0,3160.0,2017-10-12 14:50:00,94.935,94.955,94.955,94.93
94.935,94.96,94.93,94.96,0.024999999999991473,9.0,8544650.0,3165.0,2017-10-12 14:55:00,94.96,94.935,94.96,94.93
94.96,94.96,94.935,94.935,-0.024999999999991473,5.0,4746750.0,3161.0,2017-10-12 15:00:00,94.935,94.96,94.96,94.935
94.935,94.945,94.935,94.935,0.0,7.0,6645850.0,3162.0,2017-10-12 15:05:00,94.935,94.935,94.945,94.935
94.935,94.935,94.93,94.93,-0.0049999999999954525,14.0,13290250.0,3163.0,2017-10-12 15:10:00,94.93,94.935,94.935,94.93
94.93,94.93,94.91,94.91,-0.020000000000010232,12.0,11390050.0,3162.0,2017-10-12 15:15:00,94.91,94.93,94.93,94.91
94.91,94.99,94.91,94.98,0.07000000000000739,13.0,12347600.0,3157.0,2017-10-13 09:20:00,94.98,94.91,94.99,94.91
94.98,95.01,94.98,95.01,0.030000000000001137,10.0,9499150.0,3164.0,2017-10-13 09:25:00,95.01,94.98,95.01,94.98
95.01,95.01,94.995,94.995,-0.015000000000000568,4.0,3800100.0,3164.0,2017-10-13 09:30:00,94.995,95.01,95.01,94.995
94.995,95.035,94.995,95.035,0.03999999999999204,21.0,19952950.0,3163.0,2017-10-13 09:35:00,95.035,94.995,95.035,94.995
95.035,95.035,95.02,95.02,-0.015000000000000568,4.0,3800950.0,3161.0,2017-10-13 09:40:00,95.02,95.035,95.035,95.02
95.02,95.02,95.01,95.01,-0.009999999999990905,12.0,11401450.0,3161.0,2017-10-13 09:45:00,95.01,95.02,95.02,95.01
95.01,95.04,95.01,95.04,0.030000000000001137,32.0,30409600.0,3164.0,2017-10-13 09:50:00,95.04,95.01,95.04,95.01
95.04,95.045,95.025,95.025,-0.015000000000000568,36.0,34213350.0,3182.0,2017-10-13 09:55:00,95.025,95.04,95.045,95.025
95.025,95.025,94.985,94.985,-0.04000000000000625,12.0,11400200.0,3186.0,2017-10-13 10:00:00,94.985,95.025,95.025,94.985
94.99,95.0,94.985,94.99,0.0049999999999954525,6.0,5699450.0,3187.0,2017-10-13 10:05:00,94.99,94.99,95.0,94.985
94.99,94.995,94.99,94.995,0.005000000000009663,2.0,1899850.0,3187.0,2017-10-13 10:10:00,94.995,94.99,94.995,94.99
94.995,94.995,94.995,94.995,0.0,0.0,0.0,3187.0,2017-10-13 10:15:00,94.995,94.995,94.995,94.995
94.995,95.01,94.99,95.0,0.0049999999999954525,21.0,19949900.0,3196.0,2017-10-13 10:20:00,95.0,94.995,95.01,94.99
95.0,95.0,95.0,95.0,0.0,0.0,0.0,3196.0,2017-10-13 10:25:00,95.0,95.0,95.0,95.0
95.02,95.02,95.01,95.01,0.010000000000005116,8.0,7601450.0,3200.0,2017-10-13 10:30:00,95.01,95.02,95.02,95.01
95.01,95.015,94.995,94.995,-0.015000000000000568,42.0,39903800.0,3222.0,2017-10-13 10:35:00,94.995,95.01,95.015,94.995
94.995,95.0,94.99,95.0,0.0049999999999954525,8.0,7599800.0,3220.0,2017-10-13 10:40:00,95.0,94.995,95.0,94.99
95.0,95.0,94.99,94.99,-0.010000000000005116,10.0,9499000.0,3230.0,2017-10-13 10:45:00,94.99,95.0,95.0,94.99
94.99,94.995,94.98,94.99,0.0,32.0,30396500.0,3247.0,2017-10-13 10:50:00,94.99,94.99,94.995,94.98
94.985,94.985,94.975,94.975,-0.015000000000000568,15.0,14247000.0,3259.0,2017-10-13 10:55:00,94.975,94.985,94.985,94.975
94.975,94.995,94.975,94.99,0.015000000000000568,30.0,28496400.0,3278.0,2017-10-13 11:00:00,94.99,94.975,94.995,94.975
94.99,94.995,94.99,94.995,0.005000000000009663,9.0,8549150.0,3284.0,2017-10-13 11:05:00,94.995,94.99,94.995,94.99
94.995,94.995,94.965,94.975,-0.020000000000010232,14.0,13296400.0,3293.0,2017-10-13 11:10:00,94.975,94.995,94.995,94.965
94.97,94.97,94.97,94.97,-0.0049999999999954525,1.0,949700.0,3294.0,2017-10-13 11:15:00,94.97,94.97,94.97,94.97
94.97,94.975,94.97,94.975,0.0049999999999954525,14.0,13296000.0,3305.0,2017-10-13 11:20:00,94.975,94.97,94.975,94.97
94.975,94.98,94.97,94.98,0.005000000000009663,31.0,29442200.0,3330.0,2017-10-13 11:25:00,94.98,94.975,94.98,94.97
94.98,94.98,94.98,94.98,0.0,2.0,1899600.0,3329.0,2017-10-13 11:30:00,94.98,94.98,94.98,94.98
94.98,94.995,94.98,94.995,0.015000000000000568,4.0,3799700.0,3332.0,2017-10-13 13:05:00,94.995,94.98,94.995,94.98
94.995,95.025,94.995,94.995,0.0,9.0,8550600.0,3332.0,2017-10-13 13:10:00,94.995,94.995,95.025,94.995
