open,high,low,close,change,volume,amount,position,DATE,CLOSE,OPEN,HIGH,LOW
95.88,95.945,95.81,95.925,0.0,98.0,93955150.0,10566.0,2017-04-11 09:20:00,95.925,95.88,95.945,95.81
95.925,95.965,95.895,95.955,0.030000000000001137,28.0,26858400.0,10567.0,2017-04-11 09:25:00,95.955,95.925,95.965,95.895
95.955,95.955,95.9,95.9,-0.05499999999999261,7.0,6714950.0,10569.0,2017-04-11 09:30:00,95.9,95.955,95.955,95.9
95.9,95.93,95.89,95.915,0.015000000000000568,21.0,20141850.0,10570.0,2017-04-11 09:35:00,95.915,95.9,95.93,95.89
95.915,95.915,95.86,95.885,-0.030000000000001137,56.0,53690850.0,10569.0,2017-04-11 09:40:00,95.885,95.915,95.915,95.86
95.875,95.905,95.865,95.865,-0.020000000000010232,20.0,19176600.0,10573.0,2017-04-11 09:45:00,95.865,95.875,95.905,95.865
95.865,95.885,95.86,95.885,0.020000000000010232,42.0,40265100.0,10590.0,2017-04-11 09:50:00,95.885,95.865,95.885,95.86
95.885,95.885,95.805,95.82,-0.06500000000001194,174.0,166739850.0,10624.0,2017-04-11 09:55:00,95.82,95.885,95.885,95.805
95.82,95.835,95.8,95.82,0.0,72.0,68985100.0,10614.0,2017-04-11 10:00:00,95.82,95.82,95.835,95.8
95.82,95.835,95.815,95.83,0.010000000000005116,53.0,50787050.0,10595.0,2017-04-11 10:05:00,95.83,95.82,95.835,95.815
95.83,95.84,95.81,95.84,0.010000000000005116,36.0,34498000.0,10593.0,2017-04-11 10:10:00,95.84,95.83,95.84,95.81
95.84,95.845,95.83,95.835,-0.005000000000009663,22.0,21085400.0,10594.0,2017-04-11 10:15:00,95.835,95.84,95.845,95.83
95.825,95.835,95.805,95.835,0.0,10.0,9582050.0,10593.0,2017-04-11 10:20:00,95.835,95.825,95.835,95.805
95.835,95.84,95.81,95.825,-0.009999999999990905,19.0,18207050.0,10582.0,2017-04-11 10:25:00,95.825,95.835,95.84,95.81
95.825,95.83,95.795,95.795,-0.030000000000001137,35.0,33530950.0,10603.0,2017-04-11 10:30:00,95.795,95.825,95.83,95.795
95.81,95.84,95.795,95.825,0.030000000000001137,18.0,17246450.0,10609.0,2017-04-11 10:35:00,95.825,95.81,95.84,95.795
95.825,95.825,95.765,95.77,-0.05500000000000682,39.0,37355400.0,10606.0,2017-04-11 10:40:00,95.77,95.825,95.825,95.765
95.77,95.78,95.72,95.725,-0.045000000000001705,70.0,67020350.0,10613.0,2017-04-11 10:45:00,95.725,95.77,95.78,95.72
95.725,95.765,95.725,95.745,0.020000000000010232,54.0,51704050.0,10597.0,2017-04-11 10:50:00,95.745,95.725,95.765,95.725
95.745,95.76,95.745,95.76,0.015000000000000568,16.0,15320050.0,10591.0,2017-04-11 10:55:00,95.76,95.745,95.76,95.745
95.76,95.795,95.75,95.775,0.015000000000000568,27.0,25857400.0,10586.0,2017-04-11 11:00:00,95.775,95.76,95.795,95.75
95.775,95.8,95.765,95.795,0.01999999999999602,61.0,58426550.0,10578.0,2017-04-11 11:05:00,95.795,95.775,95.8,95.765
95.775,95.79,95.76,95.785,-0.010000000000005116,43.0,41182100.0,10559.0,2017-04-11 11:10:00,95.785,95.775,95.79,95.76
95.785,95.815,95.785,95.8,0.015000000000000568,15.0,14369750.0,10559.0,2017-04-11 11:15:00,95.8,95.785,95.815,95.785
95.79,95.79,95.745,95.78,-0.01999999999999602,42.0,40221100.0,10551.0,2017-04-11 11:20:00,95.78,95.79,95.79,95.745
95.78,95.785,95.78,95.785,0.0049999999999954525,1.0,957850.0,10550.0,2017-04-11 11:25:00,95.785,95.78,95.785,95.78
95.785,95.805,95.785,95.8,0.015000000000000568,13.0,12453500.0,10551.0,2017-04-11 11:30:00,95.8,95.785,95.805,95.785
95.8,95.8,95.78,95.79,-0.009999999999990905,12.0,11495000.0,10547.0,2017-04-11 13:05:00,95.79,95.8,95.8,95.78
