open,high,low,close,change,volume,amount,position,DATE,CLOSE,OPEN,HIGH,LOW
93.13,93.645,93.13,93.455,0.0,52.0,48579100.0,1255.0,2018-04-11 09:20:00,93.455,93.13,93.645,93.13
93.455,93.465,93.415,93.44,-0.015000000000000568,24.0,22426050.0,1253.0,2018-04-11 09:25:00,93.44,93.455,93.465,93.415
93.44,93.475,93.44,93.47,0.030000000000001137,33.0,30840300.0,1254.0,2018-04-11 09:30:00,93.47,93.44,93.475,93.44
93.47,93.505,93.465,93.47,0.0,33.0,30852000.0,1258.0,2018-04-11 09:35:00,93.47,93.47,93.505,93.465
93.47,93.475,93.415,93.425,-0.045000000000001705,63.0,58875500.0,1246.0,2018-04-11 09:40:00,93.425,93.47,93.475,93.415
93.425,93.445,93.415,93.445,0.01999999999999602,23.0,21488250.0,1230.0,2018-04-11 09:45:00,93.445,93.425,93.445,93.415
93.445,93.445,93.44,93.44,-0.0049999999999954525,2.0,1868800.0,1228.0,2018-04-11 09:50:00,93.44,93.445,93.445,93.44
93.44,93.48,93.44,93.475,0.03499999999999659,2.0,1869550.0,1229.0,2018-04-11 09:55:00,93.475,93.44,93.48,93.44
93.475,93.475,93.475,93.475,0.0,0.0,0.0,1229.0,2018-04-11 10:00:00,93.475,93.475,93.475,93.475
93.475,93.485,93.475,93.485,0.010000000000005116,7.0,6543650.0,1226.0,2018-04-11 10:05:00,93.485,93.475,93.485,93.475
93.485,93.485,93.48,93.48,-0.0049999999999954525,18.0,16826450.0,1223.0,2018-04-11 10:10:00,93.48,93.485,93.485,93.48
93.48,93.48,93.48,93.48,0.0,0.0,0.0,1223.0,2018-04-11 10:15:00,93.48,93.48,93.48,93.48
93.48,93.495,93.48,93.49,0.009999999999990905,4.0,3739550.0,1224.0,2018-04-11 10:20:00,93.49,93.48,93.495,93.48
93.49,93.49,93.47,93.47,-0.01999999999999602,1.0,934700.0,1223.0,2018-04-11 10:25:00,93.47,93.49,93.49,93.47
93.47,93.47,93.47,93.47,0.0,0.0,0.0,1223.0,2018-04-11 10:30:00,93.47,93.47,93.47,93.47
93.47,93.48,93.47,93.48,0.010000000000005116,1.0,934800.0,1222.0,2018-04-11 10:35:00,93.48,93.47,93.48,93.47
93.49,93.49,93.49,93.49,0.009999999999990905,1.0,934900.0,1223.0,2018-04-11 10:40:00,93.49,93.49,93.49,93.49
93.49,93.49,93.49,93.49,0.0,0.0,0.0,1223.0,2018-04-11 10:45:00,93.49,93.49,93.49,93.49
93.49,93.49,93.49,93.49,0.0,0.0,0.0,1223.0,2018-04-11 10:50:00,93.49,93.49,93.49,93.49
93.49,93.49,93.49,93.49,0.0,0.0,0.0,1223.0,2018-04-11 10:55:00,93.49,93.49,93.49,93.49
93.49,93.49,93.49,93.49,0.0,0.0,0.0,1223.0,2018-04-11 11:00:00,93.49,93.49,93.49,93.49
93.49,93.49,93.49,93.49,0.0,0.0,0.0,1223.0,2018-04-11 11:05:00,93.49,93.49,93.49,93.49
93.49,93.54,93.49,93.54,0.05000000000001137,5.0,4676450.0,1223.0,2018-04-11 11:10:00,93.54,93.49,93.54,93.49
93.54,93.58,93.54,93.58,0.03999999999999204,5.0,4678300.0,1223.0,2018-04-11 11:15:00,93.58,93.54,93.58,93.54
93.58,93.58,93.58,93.58,0.0,0.0,0.0,1223.0,2018-04-11 11:20:00,93.58,93.58,93.58,93.58
93.58,93.58,93.58,93.58,0.0,0.0,0.0,1223.0,2018-04-11 11:25:00,93.58,93.58,93.58,93.58
93.58,93.58,93.58,93.58,0.0,0.0,0.0,1223.0,2018-04-11 11:30:00,93.58,93.58,93.58,93.58
93.585,93.635,93.585,93.635,0.05500000000000682,3.0,2808400.0,1223.0,2018-04-11 13:05:00,93.635,93.585,93.635,93.585
93.635,93.64,93.635,93.64,0.0049999999999954525,2.0,1872800.0,1221.0,2018-04-11 13:10:00,93.64,93.635,93.64,93.635
93.64,93.64,93.64,93.64,0.0,0.0,0.0,1221.0,2018-04-11 13:15:00,93.64,93.64,93.64,93.64
93.64,93.64,93.64,93.64,0.0,0.0,0.0,1221.0,2018-04-11 13:20:00,93.64,93.64,93.64,93.64
93.64,93.64,93.63,93.635,-0.0049999999999954525,2.0,1872650.0,1222.0,2018-04-11 13:25:00,93.635,93.64,93.64,93.63
93.635,93.645,93.635,93.645,0.009999999999990905,1.0,936450.0,1221.0,2018-04-11 13:30:00,93.645,93.635,93.645,93.635
93.645,93.645,93.645,93.645,0.0,0.0,0.0,1221.0,2018-04-11 13:35:00,93.645,93.645,93.645,93.645
93.645,93.645,93.645,93.645,0.0,0.0,0.0,1221.0,2018-04-11 13:40:00,93.645,93.645,93.645,93.645
93.645,93.645,93.645,93.645,0.0,0.0,0.0,1221.0,2018-04-11 13:45:00,93.645,93.645,93.645,93.645
93.645,93.65,93.645,93.65,0.005000000000009663,4.0,3746000.0,1221.0,2018-04-11 13:50:00,93.65,93.645,93.65,93.645
93.65,93.65,93.65,93.65,0.0,0.0,0.0,1221.0,2018-04-11 13:55:00,93.65,93.65,93.65,93.65
93.65,93.675,93.65,93.675,0.024999999999991473,1.0,936750.0,1220.0,2018-04-11 14:00:00,93.675,93.65,93.675,93.65
93.675,93.695,93.675,93.695,0.01999999999999602,4.0,3747800.0,1217.0,2018-04-11 14:05:00,93.695,93.675,93.695,93.675
93.695,93.695,93.665,93.665,-0.029999999999986926,5.0,4684000.0,1215.0,2018-04-11 14:10:00,93.665,93.695,93.695,93.665
93.665,93.665,93.665,93.665,0.0,0.0,0.0,1215.0,2018-04-11 14:15:00,93.665,93.665,93.665,93.665
93.665,93.665,93.665,93.665,0.0,0.0,0.0,1215.0,2018-04-11 14:20:00,93.665,93.665,93.665,93.665
93.665,93.665,93.635,93.635,-0.030000000000001137,2.0,1872950.0,1215.0,2018-04-11 14:25:00,93.635,93.665,93.665,93.635
93.635,93.68,93.635,93.68,0.045000000000001705,1.0,936800.0,1216.0,2018-04-11 14:30:00,93.68,93.635,93.68,93.635
93.68,93.7,93.68,93.7,0.01999999999999602,6.0,5622000.0,1211.0,2018-04-11 14:35:00,93.7,93.68,93.7,93.68
93.7,93.71,93.7,93.71,0.009999999999990905,1.0,937100.0,1212.0,2018-04-11 14:40:00,93.71,93.7,93.71,93.7
93.71,93.71,93.71,93.71,0.0,0.0,0.0,1212.0,2018-04-11 14:45:00,93.71,93.71,93.71,93.71
93.71,93.71,93.71,93.71,0.0,0.0,0.0,1212.0,2018-04-11 14:50:00,93.71,93.71,93.71,93.71
93.71,93.71,93.71,93.71,0.0,1.0,937100.0,1213.0,2018-04-11 14:55:00,93.71,93.71,93.71,93.71
93.71,93.795,93.71,93.755,0.045000000000001705,10.0,9376900.0,1209.0,2018-04-11 15:00:00,93.755,93.71,93.795,93.71
93.755,93.845,93.755,93.835,0.0799999999999983,15.0,14071950.0,1216.0,2018-04-11 15:05:00,93.835,93.755,93.845,93.755
93.835,93.835,93.805,93.805,-0.029999999999986926,1.0,938050.0,1215.0,2018-04-11 15:10:00,93.805,93.835,93.835,93.805
93.805,93.815,93.805,93.81,0.0049999999999954525,2.0,1876250.0,1213.0,2018-04-11 15:15:00,93.81,93.805,93.815,93.805
93.81,93.81,93.77,93.77,-0.04000000000000625,3.0,2813300.0,1215.0,2018-04-12 09:20:00,93.77,93.81,93.81,93.77
93.77,93.77,93.77,93.77,0.0,0.0,0.0,1215.0,2018-04-12 09:25:00,93.77,93.77,93.77,93.77
93.77,93.84,93.77,93.84,0.07000000000000739,4.0,3752500.0,1216.0,2018-04-12 09:30:00,93.84,93.77,93.84,93.77
93.84,93.84,93.84,93.84,0.0,0.0,0.0,1216.0,2018-04-12 09:35:00,93.84,93.84,93.84,93.84
93.84,93.84,93.8,93.8,-0.04000000000000625,1.0,938000.0,1215.0,2018-04-12 09:40:00,93.8,93.84,93.84,93.8
93.8,93.8,93.8,93.8,0.0,0.0,0.0,1215.0,2018-04-12 09:45:00,93.8,93.8,93.8,93.8
93.8,93.8,93.8,93.8,0.0,1.0,938000.0,1216.0,2018-04-12 09:50:00,93.8,93.8,93.8,93.8
93.8,93.825,93.8,93.825,0.025000000000005684,1.0,938250.0,1217.0,2018-04-12 09:55:00,93.825,93.8,93.825,93.8
93.825,93.84,93.825,93.84,0.015000000000000568,1.0,938400.0,1216.0,2018-04-12 10:00:00,93.84,93.825,93.84,93.825
93.84,93.84,93.825,93.825,-0.015000000000000568,2.0,1876500.0,1218.0,2018-04-12 10:05:00,93.825,93.84,93.84,93.825
93.825,93.845,93.825,93.835,0.009999999999990905,5.0,4691950.0,1221.0,2018-04-12 10:10:00,93.835,93.825,93.845,93.825
93.835,93.835,93.835,93.835,0.0,0.0,0.0,1221.0,2018-04-12 10:15:00,93.835,93.835,93.835,93.835
93.835,93.835,93.835,93.835,0.0,0.0,0.0,1221.0,2018-04-12 10:20:00,93.835,93.835,93.835,93.835
93.835,93.835,93.75,93.75,-0.08499999999999375,5.0,4687700.0,1220.0,2018-04-12 10:25:00,93.75,93.835,93.835,93.75
93.75,93.75,93.715,93.715,-0.03499999999999659,18.0,16869950.0,1214.0,2018-04-12 10:30:00,93.715,93.75,93.75,93.715
93.715,93.74,93.715,93.74,0.024999999999991473,1.0,937400.0,1214.0,2018-04-12 10:35:00,93.74,93.715,93.74,93.715
93.74,93.74,93.74,93.74,0.0,0.0,0.0,1214.0,2018-04-12 10:40:00,93.74,93.74,93.74,93.74
93.74,93.74,93.72,93.72,-0.01999999999999602,1.0,937200.0,1213.0,2018-04-12 10:45:00,93.72,93.74,93.74,93.72
93.72,93.745,93.72,93.745,0.025000000000005684,1.0,937450.0,1213.0,2018-04-12 10:50:00,93.745,93.72,93.745,93.72
93.745,93.75,93.745,93.745,0.0,2.0,1874950.0,1214.0,2018-04-12 10:55:00,93.745,93.745,93.75,93.745
93.745,93.745,93.725,93.725,-0.020000000000010232,6.0,5623650.0,1213.0,2018-04-12 11:00:00,93.725,93.745,93.745,93.725
93.725,93.73,93.72,93.73,0.005000000000009663,2.0,1874500.0,1213.0,2018-04-12 11:05:00,93.73,93.725,93.73,93.72
93.73,93.74,93.73,93.74,0.009999999999990905,2.0,1874800.0,1212.0,2018-04-12 11:10:00,93.74,93.73,93.74,93.73
93.74,93.74,93.74,93.74,0.0,1.0,937400.0,1212.0,2018-04-12 11:15:00,93.74,93.74,93.74,93.74
93.765,93.765,93.765,93.765,0.025000000000005684,2.0,1875300.0,1213.0,2018-04-12 11:20:00,93.765,93.765,93.765,93.765
93.765,93.765,93.74,93.74,-0.025000000000005684,2.0,1874850.0,1211.0,2018-04-12 11:25:00,93.74,93.765,93.765,93.74
93.74,93.75,93.74,93.75,0.010000000000005116,2.0,1875000.0,1212.0,2018-04-12 11:30:00,93.75,93.74,93.75,93.74
93.735,93.735,93.68,93.68,-0.06999999999999318,7.0,6559100.0,1209.0,2018-04-12 13:05:00,93.68,93.735,93.735,93.68
93.68,93.68,93.67,93.67,-0.010000000000005116,1.0,936700.0,1208.0,2018-04-12 13:10:00,93.67,93.68,93.68,93.67
93.67,93.69,93.67,93.69,0.01999999999999602,1.0,936900.0,1208.0,2018-04-12 13:15:00,93.69,93.67,93.69,93.67
93.69,93.69,93.69,93.69,0.0,1.0,936900.0,1209.0,2018-04-12 13:20:00,93.69,93.69,93.69,93.69
93.69,93.69,93.65,93.65,-0.03999999999999204,3.0,2809600.0,1210.0,2018-04-12 13:25:00,93.65,93.69,93.69,93.65
93.65,93.65,93.65,93.65,0.0,0.0,0.0,1210.0,2018-04-12 13:30:00,93.65,93.65,93.65,93.65
93.65,93.65,93.63,93.63,-0.020000000000010232,2.0,1872700.0,1212.0,2018-04-12 13:35:00,93.63,93.65,93.65,93.63
